Depth,GR,RT,RHOB,NPHI,Facies
3254.0,31.9318,0.412,2.1601,0.2196,SS
3254.5,29.9506,0.408,2.1524,0.233,SS
3255.0,31.2746,0.392,2.1469,0.2473,SS
3255.5,32.1418,0.383,2.1424,0.241,SS
3256.0,30.9157,0.355,2.1471,0.2491,SS
3256.5,37.89,0.36,2.1498,0.2967,SS
3257.0,45.9108,0.382,2.1645,0.2919,SS
3257.5,43.4305,0.5795,2.0774,0.2822,SS
3258.5,53.8453,0.4328,2.248,0.3412,SH
3259.0,69.4433,0.5618,2.2572,0.403,SH
3259.5,70.7622,0.606,2.3253,0.4693,SH
3260.5,45.1481,0.6059,2.1192,0.336,SS
3261.0,36.5466,0.4389,2.1283,0.3038,SS
3261.5,30.1574,0.3754,2.1438,0.2702,SS
3262.0,33.0727,0.3669,2.1917,0.2787,SS
3262.5,31.4893,0.379,2.1903,0.2262,SS
3263.0,32.6558,0.389,2.2241,0.2461,SS
3263.5,35.2396,0.388,2.2699,0.238,SS
3264.0,58.9679,0.423,2.4435,0.3526,SH
3264.5,49.2145,0.6665,2.3305,0.5379999999999999,SH
3265.0,46.0201,0.6649,2.1744,0.2401,SS
3265.5,32.2093,0.4561,2.2085,0.2242,SS
3266.0,28.6807,0.4599,2.2054,0.2028,SS
3266.5,28.6507,0.3672,2.1778,0.223,SS
3267.0,30.4789,0.342,2.16,0.2241,SS
3267.5,28.9195,0.4092,2.1575,0.22,SS
3268.0,28.0888,0.3559,2.1605,0.2287,SS
3268.5,27.3787,0.3779999999999999,2.1736,0.2279,SS
3269.0,29.3742,0.4638,2.1906,0.2121,SS
3269.5,30.9778,0.531,2.2014,0.2177,SS
3270.0,33.346,0.5509,2.2077,0.206,SS
3270.5,26.2862,0.5851,2.207,0.208,SS
3271.0,29.2662,0.5989,2.2062,0.197,SS
3271.5,30.9267,0.6839,2.1909,0.2183,SS
3272.0,27.8777,0.7838,2.2046,0.1955,SS
3272.5,30.6473,0.9213,2.2088,0.2051,SS
3273.0,29.3149,0.84,2.1963,0.2069,SS
3273.5,30.9579,0.6361,2.2028,0.2016,SS
3274.0,32.0378,0.6,2.2085,0.2005,SS
3274.5,31.6989,0.48,2.2378,0.2024,SS
3275.0,32.0296,0.6219,2.2194,0.2082,SS
3275.5,27.8269,0.622,2.2331,0.1994,SS
3276.0,25.8984,0.623,2.2246,0.2025,SS
3276.5,25.4846,0.5332,2.2313,0.2085,SS
3277.0,31.3181,3.7324,2.2975,0.109,SS
3277.5,27.384,2.4703,2.3619,0.0939,CB
3278.0,28.7282,0.4598,2.3034,0.1728,CB
3278.5,30.603,0.464,2.2598,0.2006,SS
3279.0,31.2805,0.504,2.28,0.2096,SS
3279.5,45.6957,0.5920000000000001,2.2962,0.2137,SS
3280.5,69.5744,0.5821,2.2632,0.35,SH
3281.5,55.0748,0.675,2.2713,0.3197,SH
3282.5,66.3812,0.607,2.2657,0.3743,SH
3283.0,64.6704,0.627,2.2478,0.3913,SH
3283.5,73.4149,0.6629999999999999,2.2818,0.3848,SH
3284.0,64.5187,0.657,2.3301,0.4247,SH
3284.5,65.7854,0.6921,2.36,0.3922,SH
3285.5,51.856,0.569,2.1959,0.2896,SS
3286.0,54.7937,0.637,2.3269,0.3367,SH
3286.5,58.0499,0.5351,2.2335,0.3818,SH
3287.0,57.7755,0.391,2.2514,0.4109,SH
3287.5,41.4275,0.4799,2.1091,0.289,SS
